Bangla,English,Reason,Categry,Label
??? ???? ????? ???? ????? ????? ?? ???,Want to fuck in  the asshole of bloody bitch rapers,Use of bed words towards a person,Personal,Yes
???????? ??? ??????? ????? ??? ????? ???????????? ???? ????? ???,Good luck. I want to see your far good performance again in the last match,Normal Sentence,Sports,No
???????? ????? ????? ?????? ???????? ???? ????? ?????? ??? ????????? ??? ????????? ????? ????? ???? ???? ??? ?????,Mushfiqur's style of greeting everyone is much preferred. I have never seen a player salute in such a pure manner.,Awesome,Sports,No
??????? ????????? ??????? ???? ???????? ???? ?????,The government is conspiring to make the future generation irreligious,Hit towars Government,Political,Yes
??????? ?? ????? ????? ??? ???? ???? ????? ??? ????? ??????? ?????? ??? ????? ????? ???? ????? ???,"If we go to all your mosques and demolish them, will your God be able to protect them?",Hit towars religion,Religious,Yes
????? ???? ????? ???????? ?????? ??????? ?? ???????? ????? ?? ?????,Shakib Al Hasan is the prince of cricket,Respectful Sentence,Sports,No
??? ??? ??? ???? ???? ????? ???? ?????? ???? ?????? ???,"What a sexy body ,will have great comport fucking her. The whole body is full of sex",Hit towards a individual,Personal,Yes
???? ???? ??? ???? ?????? ?? ??? ????? ???? ?? ???? ??? ????? ??? ?????? ???? ???? ???? ??,The sound is louder when the iron is beaten with iron because it hurts more when we are bearen by our own closer person,Normal Sentence,Other,No
????? ????? ??? ????? ?? ????? ??? ???? ??? ???? ?? ,There is no point in secretly videotaping them in the society,Seems to be odd but context is saving the female person,Personal,No
????? ????????? ????? ?? ???????? ?? ???? ???? ???? ?? ???? ???? ???? ???,I don't know if there is any other sector like corruption in the health sector in this country,Normal Sentence,Political,No
?????? ??? ???? ???? ????? ????? ?? ???? ????? ??????? ????? ????? ?? ?? ??? ???,The BNP is now realizing how big a mistake they made in the August 21 grenade attack,Hate towards a group,Political,Yes
?????? ??????? ???? ?????? ??? ???? ?????? ???????? ??? ?? ???? ???,The mother died shortly after she left the ICU bed to save her son,Normal Sentence,Other,No
"???? ???????? ??? ??????? ???? ???????????????? ?????? ?????? ????? ???????,",if Pakistani left your mother and sister?Your father called you Malaun,Hate towarsds hindu.,Religious,Yes
???? ?????? ????? ??????? ?????????? ????? ???? ????? ?? ??? ???? ????,We ordinary people have no choice but to give the only superior justice.,Prayer to lord,Other,No
 ?? ?? ????????? ???? ?? ?????? ???????? ????????,Such a big bastard race is the children of this Hindu Malaun,Hate towrds Hindu,Religious,Yes
?????? ????? ???? ???? ???? ???????,Each video means a new education.,Educational,Personal,No
"????? ????????? ?? ????????? ???? ???? ?????? ??? ???, ?????? ??????? ???? ??? ?? ??????? ??? ??","Let the female infidels be called Ranumandal, as the traitors are called Mir Jafar.",Hate towards Female,Gender,Yes
?? ?????? ???? ??????? ?? ???? ???? ????????? ????? ????? ????? ??? ????????? ??? ?? ?? ???????? ????? ????,"Such a beautiful conversation, such a good presentation fascinated me. I often watch this show of Kaberia ",Amazing,Personal,No
 ?????????? ?????? ????? ????????? ??? ?? ????? ?????? ???? ??? ?? ??????? ???? ???? ??? ???? ??? ????? ???? ???? ???? ???? ???,"Hindu, Buddhist and Christian people of Bangladesh are distant people. They are called Malaun. Or they have to get out of the country by kick.",Hit towards Religious,Religious,Yes
????? ????? ????? ??? ???? ???,Do you lost conscious by seeing lady,Hit towards Female,Gender,Yes
???? ??? ?????? ??????? ???? ????? ?? ??????? ???,Society is getting bad because of prostitite like them.,Hit towards the individual represent a group,Personal,Yes
"???? ??????? ???????????, ???? ???? ????? ????? ???? ???????? ?? ?????? ?????????? ???? ?????? ?????? ??? ","An extraordinary personality, a good man, every junior player on the national team should imitate you",Respect,Sports,No
?????? ????? ?????? ?????? ???? ??????? ? ????? ????? ? ?????????? ????? ???? ?? ????? ???? ???? ????,Greetings to you. Greetings to your father and mother-in-law.,Greating,Others,No
"???????? ???? ???? ???, ??? ??????????? ???????? ????? ???? ??????? ??????? ????? ??????? ??? ?????????, ?????????? ??? ????????","There is nothing to be afraid of donating blood, there is self-satisfaction. Donate blood to save the life of a dying patient. Blood donation should be voluntary, free and safe.",Great work,Others,No
"????? ??????? ??????? ??? ?? ??? ????? ????????? ?? ??? ???? ???, ???? ??? ??? ????????? ??????","The disease is not black fungus. Its name is mucor mycosis. This disease was before, still is and will be in the future.",Normal Sentence,Others,No
???????? ??? ???? ??????? ??? ????? ????,Myanmar means cowardly and hated country.,Directly hit a country,Geopolitical,Yes
??? ?? ????? ???? ????? ?? ??? ???,There is no limit how many people fuck your pussy.,Hit individual,Personal,Yes
"??? ????? ??? ?? ???? ???? ????? ??, ???? ???? ???????",Does not seems to be not only fuck pussy but also fuck big tits ,Hit individual,Personal,Yes
?? ???? ?????? ???????? ??? ???? ??? ?????? ???? ???? ??????????? ?? ????????? ?????? ??? ????????,There is no benefit in blaming the Indian media for this. Is the bastard media and journalists of Bangladesh responsible for this?,Hit towards individual and group,Personal,Yes
"?????? ??????? ???? ???? ???? ???? ?????? ???...
?? ?????? ???? ???? ????????? ?????? ?????????? ???? ???? ???? ???????????....","Request to say something about the field of education ...
How reasonable it is to close all educational institutions by opening all sectors",Educational,Others,No
???????? ???? ????? ????? ?????? ?????? ???? ??????,Your contribution to the Bangladesh team will be written in gold letters.,Respect,Sports,No
????????? ?????? ?? ??????? ???? ?????? ??? ???? ?? ,You bitch slut doesnoy know how to speak,Hit towards individual,Personal,Yes
??? ?? ???? ???? ????? ?????? ??? ,"You are real whore, used to begging",Hit towards individual,Personal,Yes
????? ???????? ??????????? ???? ????? ????? ??? ???? ?? ?? ??????? ???? ????? ???? ????? ???????? ??????? ???? ?????????? ???????? ?????? ???????? ???? ????? ???,I don't know why I have to listen to every one of your reports more than five times. Your reports are different from every sports journalist in Bangladesh.,Normal Sentence,Personal,No
"?? ???? ????, ???? ?????????? ?????? ????, ????? ??? ???? ???? ????? ????, ???? ???? ????????","One Liton, the future dream of millions of Bangladeshis, the source of laughter, wake up a thousand Litons, wake up Bangladesh",Normal Sentence,Sports,No
"????? ?????????? ???? ???? ?????? ??????????? ????? ?? ?????????? ???????? ??????? ???? ?????? ?????, ??? ???? ????? ????? ???????? ???? ???? ??????? ????? ??????? ???? ?? ??????? ??? ????, ??????? ???? ????? ??????? ?? ???? ???? ????, ??? ???? ?? ???? ??? ?????? ????? ??? ???? ??????? ???? ????? ?????? ??????","Man has been alone since creation But the Creator knows that the pain of this loneliness will be unbearable for man, he will be anxious to tell anyone the words that are accumulating in the depths of his mind, man needs a companion to accompany him, with whom he will express his feelings. So he has made friends for people",Admire to Lord,Personal,No
"???? ?????? ???? ????? ??? ?????, ?????? ?????? ???, ???? ???? ???? ????? ???? ??? ",It was a mistake to sentence them to death. The children of the bitch should have been punished for life,hits towards person,Personal,Yes
????????? ?? ?? ???? ?? ?????? ?? ???? ?????,"What do you say you actresses, Are not you puppet of India",hits towards person,Personal,Yes
"?????? ????? ??? ??? ?? ???? ?????? ????? ???? ????, ?????? ???? ???? ???? ???? ?????? ???? ?????? ???? ???? ??? ??????''","The real friend is the one who is by the side of another friend in danger, he responds when called Only a good friend can smooth the way for a friend. """,Normal Sentence,Personal,No
"?????! ??? ??? ???? ???? ?? ???? ???????????????? ??? ??????? ??? ???, ???? ???, ??? ??? ???-?????? ?????? ???, ????? ???? ??? ????????? ????? ????? ??? ????? ????? ????????","Friend! Even though it is a very small word, it means huge. There is no fixed age for friendship, there are no rules, there is no profit-loss calculation. So, let the friendship of all be strong in the bond of love in the way of life",Friendship,Personal,No
????? ???? ???? ?? ?? ?? ? ????? ??????? ???????? ??? ????,"See, it may be a conspiracy of BNP and Jamaat Shibir",Hit towards a group,Political,Yes
?????? ?????? ????-????? ?? ?????? ????? ???? ???? ??? ?????????,But this time Sri Lanka will have to lose and bring the trophy to Bangladesh,Normal Sentence,Sports,No
?? ??????? ???? ?? ??? ?????? ????? ???? ???? ??????? ?????? ????? ??? ????? ???? ????? ?????,I should have written your profile name Malaun Third gender.Son of a slut.,Hit towards a person,Personal,Yes
??? ????? ?? ????????? ??? ??? ???? ????? ???? ??? ?????????? ?? ???? ??? ???? ????? ?? ???????? ???? ???? ??? ???? ????,Ore Malu's team Pakistan is a small country but your illegitimate father rendia  fuck by them? You will have more fun if you fuck in china style,Hit towards a Country,Geopolitical,Yes
"???????? ??? , ?? ????? ?????? ???? ???? ?? . ?????? ???? ???","Andalib bhai, the sons of this slut don't know anything. Bloody old asshole",Hits towards a Person,Personal,Yes
?? ??????? ????? ???? ???? ??? ?????? ???? ?????? ?????? ???? ? ??? ?????? ???? ???? ???? ??? ?? ??????? ???? ????? ???????,I am missing this oppressive man a lot. I am missting my dear family too. I want to get back again.,Normal Sentence,Personal,No
?? ?? ???? ???? ??????? ??? ??? ????????? ????? ??????????,"And if there is any bloodshed, the terrorist organization Chhatra League will be banned",Hate towards a political party,Political,Yes
???????? ?? ????? ???????? ?? ?????? ??? ??? ????,Eid-ul-Adha really reminds me of Bachelor's Eid drama,Normal Sentence,Personal,No
???????? ???? ???? ??? ????? ???  ???????? ?? ??? ??? ??? ?????? ??? ??? ??? ???? ???????? ???? ??? ???? ??? ??????? ????? ??,Mohammad has raped many girls and no one like him has suffered death. So mankind  don't even think about fuck women.,Hate towards Religious,Religious,Yes
???? ????????? ? ???????? ????? ???? ???? ??????? ????? ?????? ???????? ????? ?? ?? ??? ???? ??? ?????? ??? ??? ????,My friends and I will go around the whole market at the the time of shopping but  will not buy anything and the say price will be half of what it says.,Normal Sentence,Other,No
"??????? ????? ??? ?? ??? ??? ??????, ??? ??? ???","I would go to sleep on milk if I got thatr girl alas what  a sexy bitch,",Hit toward a person,Personal,Yes
??? ??????? ???? ????????? ??? ??? ??? ???? ??????? ?????? ???????? ?????????? ????? ???,I pray to God that he finds his lost family soon,Normal Sentence,Personal,No
?? ??? ??????? ????? ????? ???? ???? ??????,After eating cannabis all the son sung by bloody mother fuchker bitch,Hates towards each person of a group,Personal,Yes
"???????? ????? ????? ???? ??,??? ?????? ???? ???? ????,??? ? ?? ?????? ???? ??? ???","Asshole sakib didn't fuck opu,Opu fuck sakib.Say bitch do they match",Hates towards each person,Personal,Yes
??? ?? ????? ?????? ????? ???? ????,You are worst then slut of 20 taka.,Hates to a person ,Personal,Yes
??? ???? ???? ??????????? ?? ????? ?? ??????? ???? ?????? ???? ?????? ???????? ???? ???? ???? ????? ?????? ???? ?????? ???,I sent an e-mail on May 15th. The daughter of a poor family I know lost her way while visiting Chhatak Dhaka,Normal Sentence,Personal,No
??? ??? ????? ??? ?? ????? ???? ????? ?????? ??,"Even after listening to it again and again, I could not understand the meaning of this song",Normal Sentence,Other,No
????? ????? ???? ????? ???? ???,We have to transfer money with slut's bKash,Hits towards group of person,Personal,Yes
????? ??? ??? ???? ??????? ??? ??? ???? ???? ???? ????? ???? ?? ??????? ??? ??? ??? ??? ?? ????? ??????? ???? ?????? ????? ???? ??? ????,"You see, if brother Inu abuses him like a dog, nothing will happen because he acts like the owner, otherwise he will be hanged as Mujib's killer.",Hits  a political person,Political,Yes
????????????? ?? ???? ????? ???? ???? ???? ??? ???? ?????? ????? ??,"When you see Panchpandab together, feel a little peace in your mind",Relaxed,Sports,No
????? ??? ?????? ???? ????? ????? ??????? ??????? ???? ????? ?????? ????????? ???? ????? ?????? ????? ????? ?????? ???? ????,"Where did the sonof  bitch's  chicken Kabir go? Do not read these in the eyes of a pig? Even though the wind blows on the Hindus,  consciousness of slut's son is hurt.",Hate towards a person,Personal,Yes
????? ?????? ??????? ????? ???? ????? ????????,Some people are burning to speak against India,Hit a Country,Geopolitical,Yes
????? ??? ????? ??????? ???? ???? ??????? ??????? ???? ??? ??????????? ???? ???? ??????,You have given a lot to the country and the people of the country. I wish you well with your loved ones,Grateful sentence,Sports,No
???? ???? ????????? ?? ??? ???? ?? ????????? ????? ??? ?? ?????? ????? ???,India is a bastard's country with . Bastards whose rape is a major national act,Directly hit the country India.,Geopolitical,Yes
????? ????? ???? ???? ???? ??? ?? ??????? ??????? ?????? ??? ??? ???? ?????,"This slut getting horny, there  is no right about the birth of this barbaric child",Hits a person,Personal,Yes
????? ????? ????? ???????? ?? ?????? ???? ????? ??????? ??? ???? ??? ???????,"Although Shakib did not do the first song well, it is certain that the next song is Shakib's common reading",Enjoyable,Sports,No
???? ?? ???? ?????? ??? ????,This slut has brcome very sexy.,Hates towads a person.,Personal,Yes
"??????? ???????? ???? ????????? ??? ?????? ??? ?????? ???? ????? The name of India, the country of cow dung, should be removed from the map of the world",,hit the cointry India,Geopolitical,Yes
????? ?????? ?? ?????????????? ???? ???? ???? ????????? ??????? ????? ??? ??? ????? ???? ???? ???? ?????? ???? ?????,This personality of Tamim Bhai is very good to me. Basically this is the reason why I like Tamim Bhai no matter how bad he plays.,Normal sentence,Sports,No
??? ?????? ???? ???? ?? ???? ?????? ????? ????? ?????? ????? ???? ?? ???,"When I found it next to the cock, I would brush it with the cock on its face",hit a person,Personal,Yes
??????? ???? ?????? ???? ??? ????????? ????? ?????? ???? ???? ???????? ?? ???? ??? ????????? ???? ????? ??? ????,Wives can sue their husbands at any time for treating sex without their consent as rape.,hit a male,Gender,Yes
"??????? ??????? ???? ???? ?????? ?????? ?????? ???? ????? ???? ??? ???? ???? ????,,???? ??? ???? ???? ??????? - ?? ?????? ?????? ????? ??????",I like everything about you. But the emotion with which we hear the song Father of James  the emotion with which James sang - you have not saved any of it.,Normal Sentence seems to be odd.,Personal,No
??????? ?????????? ???? ??? ?????..??? ???,I am fascinated by Shakib's expression..awesome brother,Normal Sentence,Personal,No
?????? ???? ??? ?? ????,You bitch Mahi are you polite,hit a person ,Personal,Yes
???????? ??????? ??????? ???? ?????,Uneducated bitch. Traitor,hit a person ,Personal,Yes
????? ???? ??? ????? ??? ???? ??????? ????? ?? ?????? ???? ?????? ???? ???? ??? ??? ?? ??? ?????????? ?? ????,"Those who are interested in showing their sister's milk ass to the street people, who will guarantee that they will not have illicit work with their sisters?",Hit a group of person,Personal,Yes
 ??? ???? ???????? ?????? ?????????? ???????,You bloody asshole  Malaun's child is the child of Mother fucker,Hit a group of person,Personal,Yes
?????? ? ?? ????? ?? ??????? ?? ?????? ???? ???? ????? ?? ??????? ????,The people of Bengal will never forget what you 5 mate have given to  country,Grateful sentence,Sports,No
?????? ??? ????????? ????? ???? ??? ??????,When you crazy loved person altogether ,Unity,Other,No
"?? ???? ??????? ????? ????,?????? ?????????,,,?? ???????, ?????????? ??? ???? ???? ?????????? ???? ?????? ??? ?????","For this, Mashrafe you are the best, hope for the future, boss salute, I hope to get a touch of peace from youInshaAllah.",Admiration,Personal,No
?????? ???? ???? ?????? ?? ???? ???? ????? ????? ???,"Who is a good actor in the drama have you said,you bitch mother fucker",Hate towards a person,Personal,Yes
?????? ?? ??? ???? ????? ??? ?????? ???? ??????? ??? ,I don't understand why Shakib Bhai jumps the most in the last part,Wonder,Personal,No
???????? ?????????? ??????? ??? ????? ???????? ??????,Myanmar urinates when it hears the names of Bangladeshi soldiers,Hate country mayanmar,Geopolitical,Yes
"??? ????? ?????? ?? ???? ???? , ?????? ?????? ?? ???? ????, ??????? ?????? ?? ??? ???, ?? ???????????? ?????? ??? ???? ?????? ??? ????? ????,?? ????? ?????? ?? ??? ??? ????
???????? ?????? ???????? ????????? ???? ????????","I am polite like Tamim Bhai, I live like Mushfiqur Bhai, I sing like Mashrafe Bhai, and I can sing rocking style like Mahmudullah Bhai, and I can dance like Shakib Bhai.
Love is the five stars of Bangladesh cricket.",Happy anfd Proud,Other,No
?? ????? ????? ?????? ????? ??? ??????? ?????,This Hindu slut needs to be beaten up,Hit a person,Personal,Yes
"????? ??? ?????? ????? ??? ???? ??????? ??? ???????, 
??? ?????? ???? ??? ???? ?????? ???? ???? ????..","My brother got emotional when I first heard my father's song,After listening to the crazy play song, the emotion also went crazy ..",Crazy feeling,Personal,No
?????? ????? ?????? ????????? ??? ?????? ???????? ?? ?????? ?????? ???? ?????? ?? ??????? ????? ?????? ,"After giving birth to three children at the same time, the girls are smiling and the boys are in a bad condition after a light tap on the beachi.",Instead of using bed words meaning is not hate towards someone,Personal,No
"??? ???? ???? ?????? ?????? ?????? ????? ???? ???? ???? ??????, ????? ????? ?????? ?????? ?? ??????? ??? ????? ???? ???? ???? ?????? ??? ????? ?????? ??? ???","We should learn from these incidents. One father did just that, after having three daughters, he pushed them and their mother away. Why not a son.",Educational,Personal,No
?? ???? ?? ?? ?????? ???? ????? ???? ????? ???? ????? ????? ?? ??,"Who was giving him birth dog or devil, what did this bitch say",Hate towards person,Personal,Yes
"????????? ????? ?? ??????? ???? ""?????????????? "" ???? ??????? ??? ??? ???? ?????? ????? ??? ??????, ??????? ???? ????? ??????? ?????? ????? ??? ??? ?????? ???? ???? ???? ???? ????? ??? ????????","I have to cry every day and still say ""Alhamdulillah"" because every brother and sister is getting back to their own address, so that all the brothers and sisters who have lost one prayer to Allah can go back to their own address.",Prayer to lord,Other,No
???????? ?? ???? ??????? ?????? ???? ?? ???? ?? ,Andalib that is nothing but a piglet,Hate towards a political party,Political,Yes
 ??????? ?????? ????? ??? ??? ????? ??? ?? ??? ??????,There is no video of you Kibria Brother that I did not cry,Respect,Personal,No
"???????? ?? ???? ????? ??????? ??, ???? ????? ?????? ??, ????????? ?????? ???????????????? ??, ??? ???? ?? ?? ??? ??? ?? ???? ?????? ????","In Randia, tea seller becomes a minister, begger becomes a national artist, Murder's Hanuman becomes a minister of state, cows are their mother, no father, because they are illegitimate.",Hate towards a country,Geopolitical,Yes
?? section ? ???? ?? ??? ????? ????? ????? ?????? ????? ???? ???? ??? ???? ??? ?????? ?????? ??????? ???? ??? ???? ?????,I pray to Allah Ta'ala to keep you alive for all those who are involved in this great work in this section.,Prayer to lord,Personal,No
"?? ?? ????? ???? ???? ???? ????? ??????),",You will see everything and every one is busterd.,Hate directed to a Country ,Geopolitical,Yes
????????? ???????????? ????? ???? ???? ???? ??? ????? ?????? ?????????????? ?????? ?????? ???? ????????? ????? ???????? ????? ???? ???? ????? ?????? ???? ???? ????????? ?????? ??? ???,I only hear from Bangladeshis that India is their main rival now but to us it is the other way around. The passion for this match is not the same as it is in Pakistan.,Normal Statement,Sports,No
?????? ????? ???? ??? ???? ?????? ????? ?????? ??? ????? ????? ????? ??? ??????,"In our Bengali country, if anyone tries to worship idols we have to uproot it",Hate directed to hindu religious,Religious,Yes
"???? ??????? ???? ?????, ???????????? ??? ??????????? ??????? ????????? ????????????? ??? ?? ???? ?????? ?????????? ????? ???? ??? ??? ???","As you say in the video, the Ashes matches between Australia and England are exciting and they think it's much bigger than the World Cup.",Normal Statement,Sports,No
???? ??????? ?? ???? ???? ???? ????,Go to slut market you will get more money,Hate directed towards a person,Personal,Yes
??? ??? ????? ???? ??? ?????? ????? ????? ????? ?? ???? ???? ?????????? ????? ???? ??? ??? ?????? ??????? ?? ??? ????????? ????? Department 1'st ?????????? so ???? ???? ??? ????? ??? ?????? ? ????? ???? ???? ???? ?????,"Brother, I am a lazy person. After watching your video, I am inspired. Now I have a lot of change and I am in Diploma in Civil Department 1'st semester. So please pray for me. I can do something good for the country in the future.",Motivational,Personal,No
????? ?? ??????? ???? ???? ??????? ???? ????? ???????? ??????????? ??? ????? ??????? ???? ?????,I was really encouraged to watch this video to realize my dream and develop the country.,Inispirational,Personal,No
???? ????? ???? ????? ??????? ???? ??????,Today Sonaton religion is getting worse,Reality,Other,No
????? ????? ????? ???? ???? ????? ?? ???,Tetul sucked his wife's vagina and realized that it was sour.,Hate towards a person,Personal,Yes
????????? ? ??????????? ?????? ????? ???? ???? ???? ??????????,"Inshallah, the people of this country will throw Bangabandhu and Awami League",Hates towards a political Party,Political,Yes
?????? ???? ??? ?? ???? ???? ????? ??? ????? ?????? ??????? ???? ?? ????? ?? ?? ?????? ?????? ???????,"Bloody asshole seems to have eaten cannbis a little too much. Stop Indian porn serials first, then foreign Sultan Suleiman",Hates towards a country,Geopolitical,Yes
??????? ???? ???? ??? ??? ????,Love should be like that,Love in words,Other,No
??????? ??? ?????? ?????? ???????? ??? ?? ??? ????? ?/ ??? ? ??? ??? ???? ??? ?????????,Brother Mashrafe seems to have cursed you because you did 100 after 6 months 3 days.,Funny,Sports,No
 ????????? ??????? ???? ??? ?????,Malaun's itching has started.,Hate towards a country,Geopolitical,Yes
"??? ?????? ????? ????? ???, ?????? ????? ??? ????? ?? ????? ??? ??????? ?? ??? ???? ??,????? ??????? ????? ???? ????? ?????? ??? ?????? ???? ???? ????, ?? ????? ?? ?????? ?????????? ?????? ???????? ????..","Great initiative Tamim Iqbal Bhai, not to repay the benefit of the people of the country behind the chat, many people are terrified and emotionally broken in the terrible times of the current world, and this initiative of yours is undoubtedly a cause of emotional relief.",Encouriging,Personal,No
"????? ?? ?? ???? ????? ??? ????? ?????, ?????????","""Hindu is not someone's friend. They will be  chaina, Pakistan""",Direct hate towards Hindu,Religious,Yes
????!???????? ?????? ?????? ???? ??? ???? ??? ???? ????? ?????? ???? ???? ???? ????? ????? ??? ???? ?????? ?????? ???? ?????? ????????,"Hazrat! Before talking about economic issues, I hope you will understand it from the wise Mufti and then say it. You have confused the subject.",Advice,Personal,No
"??? ???? ???? ???? ???? ?????? ?????????????? ????????? ????? ???????,????? ???????","I have learned a lot from here, brother. Specially smartly correct pronunciation, unknown word.",Respect,Personal,No
????? ???????? ???? ?? ?????? ????? ??? ????? ???? ??????? ? ?????? ?????,"""The traitors of the country consider India a bandh. They are the real traitor and puppet of india",Hates towards a political party,Political,Yes
???? ????????  ??% ????? ?? ?????????,80% of MPs are idiots and terrorists,Hates towards a political party,Political,Yes
???? ???????? ?????? ????????? ?????? ????? ???? ?? ???? ???? ???? ???? ,Sala Malaun's child Randia's child Whom is belonging to this religion is known to all.,Hates towards Indian,Geopolitical,Yes
"?????? ?????? ????? ??? ?????? ????? ??? ????? ????, ?? ????? ???? ?????? ??? ??? ?????? ??? ???? ????? ?????","The boy is fighting to get back into the national team, the country did so much for him and the board did nothing for him.",Entusiastic person,Sports,No
???? ?????? ???? ??? ?????? ?????? ??? ???? ???? ?????,"You son of bitch, asshole you should be punished first",Hates towards a person,Personal,Yes
???? ???? ???? ??????????  ??? ???? ???,"This bitch is totally slut, only fucked by special person",Hates towards a person,Personal,Yes
???? ???? ????? ??????? ???? ????????? ??????? ???? ????????? ?? ???? ??????? ?????? ??? ?????? ??? ??? ????????????? ???????? ????? ???????,"India is a cowdung-drinking terrorist state that is causing unrest in neighboring countries, killing millions of freedom-loving Kashmiris",Hates towards india,Geopolitical,Yes
????? ??????? ????? ?? ????????? ???? ????? ????? ???????,The sons of the earth broke the shackles of subjugation and liberated Bengal,Inispirational,Other,No
??? ??????? ?????? ?????? ????????? ????? ????? ????,Brother all this people should be admitted to Pabna Mental Hospital,Hates towards a group of person,Personal,Yes
???????? ????????? ??????????? ?? ???? ??? ?? ???? ??????? ??? ???? ????? ??????????????? ?? ???? ??? ?????? ???? ????,The lighthouse of Bangladesh cricket which is a little wrong and has been extinguished very quickly due to a very bad mismanagement of a company.,Reality,Sports,No
??? ???? ???? ???? ???? ????? ???????? ??? ,"Brother, come back, we are all waiting for you",Hope,Sports,No
?????? ????? ??? ???? ?????? ??????? ???,The brokers of India are abusing without understanding anything,Hate towards India,Geopolitical,Yes
???? ?? ?????? ?????? ?? ??? ??????? ,You busterds now tell me who is the best players,Hate towards  a person,Personal,Yes
"?? ??? ???? ????, ?????? ???? ?????? ??????, ??? ???? ?????? ???? ?????? ???, ???? ??? ??, ??? ??????, ????????? ???? ?????? ?????? ????? ???? ???, ????? ?????? ??????? ????????? ????? ????, ???? ???? ????? ???? ????","In any case, if the media is in turmoil, after some influence in the upper house, I think, just like that, for Ashraful, everyone has to go ahead like this, then maybe even if the love of the audience is demanded, maybe it will give a chance.",Normal Sentence,Sports,No
??????? ???????? ???? ???? ???? ??? ? ??????? ??????? ??? ??? ,The puppies bitch will say after a while that Jamaat Shibir had a hand in this,Hate towards a party,Political,Yes
????? ???? ???? ?????? ??? ????,Honestly you said a lot of beautiful things,Admire,Personal,No
???? ???? ???????????? ??? ????? ??? ?????? ???? ??????? ???? ????? ????? ??? ??? ??? ????? ???? ??? ??? ???? ????? ?????,"Wow, she is saying very important things. Thank you very much. Sometimes she will come live and give some better advice for the country and the nation.",Admire,Personal,No
??? ???? ???? ???????? ???? ?????? ?????? ??? ???? ???? ?????? ,"I love you so much, it's hard for me to express it in words.",Love can't br express in words,Personal,No
?? ?? ??? ???  ?????? ??? ???????,What all asshole fuss sonica,Hates towards a person,Personal,Yes
"??????? ????? "" ??????? ?? ???? "" ???? ???? ???? ??????????? ????????? ???? ????? ?????? ??????? ? ??????? ???????? ??? ?????","I also enjoyed my sunset moment by listening to Mr. Kibria's story ""A Great Life"". Thanks and sincere blessings",Blissful Sentence,Personal,No
????? ????? ???? ??? ?????? ,Now I understand that you are a real fucking slut,Hates towards a person,Personal ,Yes
?? ????? ???? ???? ?????? ??????? ???? ???? ??????? ?????????,Everyone has heard the story with so much joy. Thank you very much listeners,Enjoyable,Personal,No
?? ??????? ?????? ????? ???? ??????  ? ?? ???? ???? ?????? ?????  ??????? ??????,This son of bitch pertho should be beaten by shoe,Hates toward a person,Personal,Yes
????? ?????  ????? ???? ??????  ????? ??? ???? ?? ?? ???? ???? ?? ?? ??  ,"You slut Why don't you call slut, let you fuck everyone ",Hates toward a person,Personal,Yes
???? ???? ????? ????????? ?? ???? ????? ???? ???,"Needless to say, Pakistan is a militant country",Hates toward a Country,Geopolitical,Yes
